title,company,location,min_salary,max_salary,currency,description,source,url,posted_date
Data Engineer (Python/Spark),TechOrbit Analytics,"Remote, India",839564,1077065,INR,"Looking for Data Engineer with Python, SQL, Spark, ETL, AWS",seed_csv,https://jobs.example.com/de-001,2025-12-04
Principal Python Data Engineer Consultant,DataFlow Labs,"Hyderabad, India",808043,1083675,INR,"Strong Python, Pandas, SQL, Airflow, AWS required Comfortable working in Agile/Scrum environments.",seed_csv,https://jobs.example.com/de-002,2025-12-03
Python Data Engineer,DataFlow Labs Labs,"Pune, India",973844,1711649,INR,"Strong Python, Pandas, SQL, Airflow, AWS required",seed_csv,https://jobs.example.com/de-002,2025-12-03
Python Data Engineer,DataFlow Labs,"Chennai, India",980957,1546581,INR,"Strong Python, Pandas, SQL, Airflow, AWS required Strong communication and stakeholder management skills.",seed_csv,https://jobs.example.com/de-002,2025-12-03
Senior Data Engineer (Python/Spark),TechOrbit Analytics Solutions,"Hyderabad, India",737622,1455323,INR,"Looking for Data Engineer with Python, SQL, Spark, ETL, AWS Strong communication and stakeholder management skills.",seed_csv,https://jobs.example.com/de-001,2025-12-04
Junior Data Engineer (SQL/Python) Analyst,InsightWorks Labs,"Bangalore, India",535540,1165152,INR,"Entry-level role with Python, SQL, basic ETL Hands-on with Docker and CI/CD pipelines.",seed_csv,https://jobs.example.com/de-003,2025-12-02
Associate Junior Data Engineer (SQL/Python),InsightWorks,"Remote, India",521032,927561,INR,"Entry-level role with Python, SQL, basic ETL Comfortable working in Agile/Scrum environments.",seed_csv,https://jobs.example.com/de-003,2025-12-02
Junior Junior Data Engineer (SQL/Python) Consultant,InsightWorks,"Remote, India",562492,896556,INR,"Entry-level role with Python, SQL, basic ETL Experience with cloud platforms (AWS/Azure/GCP).",seed_csv,https://jobs.example.com/de-003,2025-12-02
Associate Junior Data Engineer (SQL/Python) Developer,InsightWorks Pvt Ltd,"Hyderabad, India",579055,1264727,INR,"Entry-level role with Python, SQL, basic ETL",seed_csv,https://jobs.example.com/de-003,2025-12-02
Data Engineer (Python/Spark) Consultant,TechOrbit Analytics,"Chennai, India",930271,1450096,INR,"Looking for Data Engineer with Python, SQL, Spark, ETL, AWS",seed_csv,https://jobs.example.com/de-001,2025-12-04
Junior Data Engineer (Python/Spark),TechOrbit Analytics,"Hyderabad, Telangana, India",774678,1483062,INR,"Looking for Data Engineer with Python, SQL, Spark, ETL, AWS Exposure to big data tools like Spark/Hadoop is a plus.",seed_csv,https://jobs.example.com/de-001,2025-12-04
Python Data Engineer,DataFlow Labs Labs,"Bengaluru, Karnataka, India",789616,1513767,INR,"Strong Python, Pandas, SQL, Airflow, AWS required",seed_csv,https://jobs.example.com/de-002,2025-12-03
Lead Python Data Engineer Consultant,DataFlow Labs,"Delhi, India",1069033,1842090,INR,"Strong Python, Pandas, SQL, Airflow, AWS required",seed_csv,https://jobs.example.com/de-002,2025-12-03
Data Engineer (Python/Spark) Specialist,TechOrbit Analytics,"Hyderabad, India",725676,1034355,INR,"Looking for Data Engineer with Python, SQL, Spark, ETL, AWS",seed_csv,https://jobs.example.com/de-001,2025-12-04
Junior Data Engineer (SQL/Python),InsightWorks,"Pune, India",595392,797485,INR,"Entry-level role with Python, SQL, basic ETL Strong communication and stakeholder management skills.",seed_csv,https://jobs.example.com/de-003,2025-12-02
Principal Junior Data Engineer (SQL/Python) Specialist,InsightWorks Pvt Ltd,"Delhi, India",543892,1172854,INR,"Entry-level role with Python, SQL, basic ETL",seed_csv,https://jobs.example.com/de-003,2025-12-02
Principal Junior Data Engineer (SQL/Python),InsightWorks Technologies,"Chennai, India",576311,1277408,INR,"Entry-level role with Python, SQL, basic ETL",seed_csv,https://jobs.example.com/de-003,2025-12-02
Junior Data Engineer (SQL/Python) Analyst,InsightWorks,"Delhi, India",552621,779249,INR,"Entry-level role with Python, SQL, basic ETL Experience with cloud platforms (AWS/Azure/GCP).",seed_csv,https://jobs.example.com/de-003,2025-12-02
Data Engineer (Python/Spark) Specialist,TechOrbit Analytics Labs,"Delhi, India",754775,1426328,INR,"Looking for Data Engineer with Python, SQL, Spark, ETL, AWS",seed_csv,https://jobs.example.com/de-001,2025-12-04
Junior Python Data Engineer,DataFlow Labs Pvt Ltd,"Mumbai, India",857652,1283458,INR,"Strong Python, Pandas, SQL, Airflow, AWS required",seed_csv,https://jobs.example.com/de-002,2025-12-03
Associate Junior Data Engineer (SQL/Python) Consultant,InsightWorks,"Mumbai, India",496792,910071,INR,"Entry-level role with Python, SQL, basic ETL Exposure to big data tools like Spark/Hadoop is a plus.",seed_csv,https://jobs.example.com/de-003,2025-12-02
Python Data Engineer Specialist,DataFlow Labs,"Bengaluru, Karnataka, India",827582,1055486,INR,"Strong Python, Pandas, SQL, Airflow, AWS required",seed_csv,https://jobs.example.com/de-002,2025-12-03
Principal Junior Data Engineer (SQL/Python) Specialist,InsightWorks,"Hyderabad, India",552978,1084545,INR,"Entry-level role with Python, SQL, basic ETL Comfortable working in Agile/Scrum environments.",seed_csv,https://jobs.example.com/de-003,2025-12-02
Senior Python Data Engineer,DataFlow Labs Systems,"Mumbai, India",843814,1332475,INR,"Strong Python, Pandas, SQL, Airflow, AWS required Comfortable working in Agile/Scrum environments.",seed_csv,https://jobs.example.com/de-002,2025-12-03
Junior Data Engineer (SQL/Python),InsightWorks,"Remote, India",562153,1213918,INR,"Entry-level role with Python, SQL, basic ETL",seed_csv,https://jobs.example.com/de-003,2025-12-02
Senior Junior Data Engineer (SQL/Python) Consultant,InsightWorks Pvt Ltd,"Chennai, India",482459,1170458,INR,"Entry-level role with Python, SQL, basic ETL Hands-on with Docker and CI/CD pipelines.",seed_csv,https://jobs.example.com/de-003,2025-12-02
Principal Python Data Engineer Developer,DataFlow Labs,"Hyderabad, India",974235,1446628,INR,"Strong Python, Pandas, SQL, Airflow, AWS required Comfortable working in Agile/Scrum environments.",seed_csv,https://jobs.example.com/de-002,2025-12-03
Python Data Engineer,DataFlow Labs,"Bangalore, India",971090,1223601,INR,"Strong Python, Pandas, SQL, Airflow, AWS required Strong communication and stakeholder management skills.",seed_csv,https://jobs.example.com/de-002,2025-12-03
Data Engineer (Python/Spark),TechOrbit Analytics Pvt Ltd,"Hyderabad, Telangana, India",914833,1219082,INR,"Looking for Data Engineer with Python, SQL, Spark, ETL, AWS",seed_csv,https://jobs.example.com/de-001,2025-12-04
Junior Python Data Engineer Specialist,DataFlow Labs,"Mumbai, India",785486,1098075,INR,"Strong Python, Pandas, SQL, Airflow, AWS required",seed_csv,https://jobs.example.com/de-002,2025-12-03
Principal Junior Data Engineer (SQL/Python) Specialist,InsightWorks,"Remote, India",460540,1227132,INR,"Entry-level role with Python, SQL, basic ETL Exposure to big data tools like Spark/Hadoop is a plus.",seed_csv,https://jobs.example.com/de-003,2025-12-02
Python Data Engineer,DataFlow Labs,"Bengaluru, Karnataka, India",883861,1506083,INR,"Strong Python, Pandas, SQL, Airflow, AWS required Comfortable working in Agile/Scrum environments.",seed_csv,https://jobs.example.com/de-002,2025-12-03
Python Data Engineer,DataFlow Labs,"Chennai, India",807528,1467478,INR,"Strong Python, Pandas, SQL, Airflow, AWS required",seed_csv,https://jobs.example.com/de-002,2025-12-03
Senior Data Engineer (Python/Spark),TechOrbit Analytics,"Remote, India",668093,1101514,INR,"Looking for Data Engineer with Python, SQL, Spark, ETL, AWS Exposure to big data tools like Spark/Hadoop is a plus.",seed_csv,https://jobs.example.com/de-001,2025-12-04
Python Data Engineer,DataFlow Labs,"Hyderabad, India",784067,957375,INR,"Strong Python, Pandas, SQL, Airflow, AWS required",seed_csv,https://jobs.example.com/de-002,2025-12-03
Senior Python Data Engineer Developer,DataFlow Labs,"Hyderabad, India",986877,1355756,INR,"Strong Python, Pandas, SQL, Airflow, AWS required Hands-on with Docker and CI/CD pipelines.",seed_csv,https://jobs.example.com/de-002,2025-12-03
